GEO_ID,NAME,DP03_0001E,DP03_0005E,DP03_0006E,DP03_0007E,Unemployment_Ratio,Army_Ratio,Not_In_Ratio
0500000US29001,Adair,21241,564,46,10276,0.026552422,0.002165623,0.483781366
0500000US29003,Andrew,14263,423,107,5092,0.029657155,0.007501928,0.357007642
0500000US29005,Atchison,4345,81,0,1689,0.018642117,0,0.38872267
0500000US29007,Audrain,20190,552,5,8379,0.027340267,0.000247647,0.415007429
0500000US29009,Barry,27662,466,17,12509,0.016846215,0.000614561,0.452208806
0500000US29011,Barton,9290,337,0,4165,0.036275565,0,0.448331539
0500000US29013,Bates,12755,450,0,5181,0.035280282,0,0.40619365
0500000US29015,Benton,16379,542,11,8943,0.033091153,0.000671592,0.54600403
0500000US29017,Bollinger,8766,221,0,3962,0.025211043,0,0.451973534
0500000US29019,Boone,149127,3853,188,48460,0.025837038,0.00126067,0.324957922
0500000US29021,Buchanan,68465,2012,211,26791,0.029387278,0.003081867,0.391309428
0500000US29023,Butler,33779,1208,36,15453,0.035761864,0.001065751,0.457473578
0500000US29025,Caldwell,7001,143,1,3182,0.020425653,0.000142837,0.454506499
0500000US29027,Callaway,36172,1132,15,14777,0.031294924,0.000414685,0.408520403
0500000US29029,Camden,36358,974,0,17376,0.026789152,0,0.477914077
0500000US29031,Cape Girardeau,65299,1616,35,23080,0.024747699,0.000535996,0.353451048
0500000US29033,Carroll,6847,193,0,2886,0.028187527,0,0.421498466
0500000US29035,Carter,4403,42,21,2030,0.009538951,0.004769475,0.461049285
0500000US29037,Cass,84163,2600,31,28419,0.030892435,0.000368333,0.337666195
0500000US29039,Cedar,11257,205,2,5859,0.018210891,0.000177667,0.520476148
0500000US29041,Chariton,5963,156,0,2637,0.026161328,0,0.442227067
0500000US29043,Christian,68006,1352,27,23660,0.019880599,0.000397024,0.347910478
0500000US29045,Clark,5152,51,0,2147,0.009899068,0,0.416731366
0500000US29047,Clay,196930,5810,445,58514,0.029502869,0.002259686,0.29713096
0500000US29049,Clinton,16883,419,18,6834,0.024817864,0.001066161,0.404785879
0500000US29051,Cole,61943,1284,103,22298,0.020728734,0.001662819,0.359976107
0500000US29053,Cooper,13953,409,0,6150,0.029312693,0,0.440765427
0500000US29055,Crawford,18536,748,13,8802,0.040353906,0.000701338,0.474859732
0500000US29057,Dade,6228,281,0,2877,0.045118818,0,0.46194605
0500000US29059,Dallas,13194,331,41,6508,0.025087161,0.003107473,0.49325451
0500000US29061,Daviess,6549,79,8,2782,0.01206291,0.001221561,0.424797679
0500000US29063,Dekalb,9726,83,0,5621,0.008533827,0,0.577935431
0500000US29065,Dent,11640,289,0,5303,0.024828179,0,0.455584192
0500000US29067,Douglas,9486,339,0,4892,0.035736875,0,0.515707358
0500000US29069,Dunklin,21968,853,0,9762,0.038829206,0,0.444373634
0500000US29071,Franklin,83448,2366,56,30952,0.028352986,0.000671077,0.370913623
0500000US29073,Gasconade,12026,187,0,4604,0.015549642,0,0.382837186
0500000US29075,Gentry,4845,106,8,2044,0.021878225,0.001651187,0.421878225
0500000US29077,Greene,241474,6069,213,91032,0.025133141,0.000882083,0.376984686
0500000US29079,Grundy,7698,179,0,3299,0.023252793,0,0.428552871
0500000US29081,Harrison,6429,94,17,2896,0.014621247,0.002644268,0.450458858
0500000US29083,Henry,17730,568,79,7769,0.032036097,0.004455725,0.438183869
0500000US29085,Hickory,7146,225,15,4265,0.031486146,0.002099076,0.596837392
0500000US29087,Holt,3507,68,23,1456,0.019389792,0.006558312,0.415169661
0500000US29089,Howard,8167,199,0,3612,0.024366352,0,0.442267663
0500000US29091,Howell,31224,857,0,14687,0.027446836,0,0.470375352
0500000US29093,Iron,7752,127,0,3905,0.016382869,0,0.50374097
0500000US29095,Jackson,562970,19038,692,182942,0.033817077,0.001229195,0.324958701
0500000US29097,Jasper,94815,2442,41,35185,0.025755418,0.000432421,0.371091072
0500000US29099,Jefferson,179695,5000,333,60260,0.027824926,0.00185314,0.335346003
0500000US29101,Johnson,43313,1181,3334,14381,0.027266641,0.07697458,0.332025027
0500000US29103,Knox,2995,50,0,1290,0.016694491,0,0.430717863
0500000US29105,Laclede,27828,971,18,11368,0.034892914,0.000646831,0.408509415
0500000US29107,Lafayette,26076,418,31,10022,0.016030066,0.001188833,0.384338089
0500000US29109,Lawrence,29475,1245,33,11801,0.042239186,0.001119593,0.400373198
0500000US29111,Lewis,8051,312,0,3565,0.03875295,0,0.442802136
0500000US29113,Lincoln,45595,941,62,16649,0.020638228,0.001359798,0.365149687
0500000US29115,Linn,9503,168,6,3842,0.017678628,0.00063138,0.404293381
0500000US29117,Livingston,11962,220,27,5242,0.018391573,0.002257148,0.438221033
0500000US29119,McDonald,18108,611,29,8156,0.033741992,0.001601502,0.450408659
0500000US29121,Macon,12092,245,13,5384,0.02026133,0.001075091,0.44525306
0500000US29123,Madison,10127,270,57,4636,0.0266614,0.005628518,0.457786116
0500000US29125,Maries,6929,206,0,3024,0.02973012,0,0.436426613
0500000US29127,Marion,22524,518,0,8921,0.022997691,0,0.396066418
0500000US29129,Mercer,2788,67,9,1183,0.024031564,0.003228121,0.424318508
0500000US29131,Miller,19379,676,19,7464,0.034883121,0.000980443,0.385159193
0500000US29133,Mississippi,10616,295,0,5908,0.027788244,0,0.556518463
0500000US29135,Moniteau,12286,287,12,5409,0.023359922,0.000976721,0.440257203
0500000US29137,Monroe,6984,64,12,3233,0.009163803,0.001718213,0.462915235
0500000US29139,Montgomery,9141,158,0,3827,0.017284761,0,0.418663166
0500000US29141,Morgan,16651,365,15,8743,0.021920605,0.000900847,0.525073569
0500000US29143,New Madrid,13065,308,14,6256,0.023574436,0.001071565,0.478836586
0500000US29145,Newton,46243,1327,21,18144,0.028696235,0.000454123,0.392362087
0500000US29147,Nodaway,18622,266,5,7717,0.01428418,0.0002685,0.41440232
0500000US29149,Oregon,7043,186,0,3638,0.026409201,0,0.516541247
0500000US29151,Osage,10683,96,5,3801,0.00898624,0.000468033,0.355798933
0500000US29153,Ozark,7221,212,0,4118,0.029358815,0,0.570281124
0500000US29155,Pemiscot,12284,690,0,6099,0.056170628,0,0.496499512
0500000US29157,Perry,15054,444,61,5471,0.029493822,0.004052079,0.363425003
0500000US29159,Pettis,33328,885,157,12713,0.026554249,0.004710754,0.381451032
0500000US29161,Phelps,36300,980,26,16601,0.026997245,0.000716253,0.457327824
0500000US29163,Pike,14405,275,26,7233,0.019090594,0.001804929,0.50211732
0500000US29165,Platte,82835,2230,516,24283,0.026920988,0.006229251,0.293149031
0500000US29167,Polk,25017,491,11,10508,0.019626654,0.000439701,0.420034377
0500000US29169,Pulaski,42963,1096,10217,12607,0.025510323,0.237809278,0.29343854
0500000US29171,Putnam,3708,118,0,1525,0.031823085,0,0.411272923
0500000US29173,Ralls,8385,255,0,3427,0.030411449,0,0.408706023
0500000US29175,Randolph,20054,547,45,8532,0.027276354,0.002243941,0.425451282
0500000US29177,Ray,18408,291,7,6892,0.015808344,0.000380269,0.374402434
0500000US29179,Reynolds,5164,336,0,2499,0.06506584,0,0.483927188
0500000US29181,Ripley,8605,221,0,4274,0.025682743,0,0.496687972
0500000US29183,St Charles,319400,7197,174,96278,0.022532874,0.000544771,0.301433939
0500000US29185,St Clair,7625,122,1,3792,0.016,0.000131148,0.497311475
0500000US29186,Ste Genevieve,14876,365,0,5888,0.024536166,0,0.395805324
0500000US29187,St Francois,54823,1433,5,26188,0.026138664,9.12026E-05,0.477682724
0500000US29189,St Louis,805813,23172,557,280188,0.028756051,0.000691227,0.347708463
0500000US29195,Saline,18479,257,2,7687,0.013907679,0.000108231,0.415985714
0500000US29197,Schuyler,3149,28,0,1282,0.008891712,0,0.407113369
0500000US29199,Scotland,3521,22,0,1595,0.006248225,0,0.452996308
0500000US29201,Scott,29806,726,43,11848,0.024357512,0.001442663,0.397503858
0500000US29203,Shannon,5785,97,0,3070,0.016767502,0,0.5306828
0500000US29205,Shelby,4801,35,0,1970,0.007290148,0,0.410331181
0500000US29207,Stoddard,23098,677,37,10540,0.029309897,0.00160187,0.456316564
0500000US29209,Stone,26608,1168,0,13669,0.043896572,0,0.513717679
0500000US29211,Sullivan,4797,78,0,2181,0.016260163,0,0.454659162
0500000US29213,Taney,45396,1410,8,18243,0.031060005,0.000176227,0.4018636
0500000US29215,Texas,20212,648,63,10029,0.032060162,0.00311696,0.496190382
0500000US29217,Vernon,15534,383,33,6518,0.024655594,0.002124372,0.419595726
0500000US29219,Warren,27792,870,0,10041,0.031303972,0,0.361291019
0500000US29221,Washington,19061,560,0,9363,0.029379361,0,0.491212423
0500000US29223,Wayne,9315,397,0,5290,0.042619431,0,0.567901235
0500000US29225,Webster,29551,802,61,12403,0.027139522,0.002064228,0.419715069
0500000US29227,Worth,1624,23,0,696,0.014162562,0,0.428571429
0500000US29229,Wright,14026,312,9,7031,0.022244403,0.000641665,0.501283331
0500000US29510,St Louis City,251030,9893,770,84202,0.039409632,0.003067362,0.335426045