GEO_ID,NAME,S0801_C01_004E
0500000US29001,Adair,13.7
0500000US29003,Andrew,7.4
0500000US29005,Atchison,9.2
0500000US29007,Audrain,8.4
0500000US29009,Barry,9.3
0500000US29011,Barton,5.1
0500000US29013,Bates,9.1
0500000US29015,Benton,10.5
0500000US29017,Bollinger,17.1
0500000US29019,Boone,9.5
0500000US29021,Buchanan,10.2
0500000US29023,Butler,13.7
0500000US29025,Caldwell,11.4
0500000US29027,Callaway,8.5
0500000US29029,Camden,9.4
0500000US29031,Cape Girardeau,9.4
0500000US29033,Carroll,10.6
0500000US29035,Carter,11.6
0500000US29037,Cass,6.6
0500000US29039,Cedar,6.4
0500000US29041,Chariton,10.4
0500000US29043,Christian,7.6
0500000US29045,Clark,7.1
0500000US29047,Clay,8.3
0500000US29049,Clinton,9.4
0500000US29051,Cole,8.6
0500000US29053,Cooper,10.1
0500000US29055,Crawford,16
0500000US29057,Dade,9.3
0500000US29059,Dallas,10.4
0500000US29061,Daviess,12.5
0500000US29063,DeKalb,7.4
0500000US29065,Dent,6.8
0500000US29067,Douglas,7.6
0500000US29069,Dunklin,14.6
0500000US29071,Franklin,9.9
0500000US29073,Gasconade,8
0500000US29075,Gentry,8.4
0500000US29077,Greene,8.6
0500000US29079,Grundy,5.3
0500000US29081,Harrison ,8.6
0500000US29083,Henry ,8.1
0500000US29085,Hickory ,9.6
0500000US29087,Holt ,8.8
0500000US29089,Howard ,11.5
0500000US29091,Howell ,12.5
0500000US29093,Iron ,10.8
0500000US29095,Jackson ,6.5
0500000US29097,Jasper ,9.9
0500000US29099,Jefferson ,7
0500000US29101,Johnson ,9.5
0500000US29103,Knox ,3.3
0500000US29105,Laclede ,12.7
0500000US29107,Lafayette ,9.9
0500000US29109,Lawrence ,10.3
0500000US29111,Lewis ,10
0500000US29113,Lincoln ,8.3
0500000US29115,Linn ,7.6
0500000US29117,Livingston ,9.5
0500000US29119,McDonald ,10.2
0500000US29121,Macon ,9.7
0500000US29123,Madison ,12.4
0500000US29125,Maries ,13.4
0500000US29127,Marion ,9.4
0500000US29129,Mercer ,11.4
0500000US29131,Miller,10.4
0500000US29133,Mississippi,9.3
0500000US29135,Moniteau ,12.8
0500000US29137,Monroe ,8.9
0500000US29139,Montgomery ,10.3
0500000US29141,Morgan ,16.3
0500000US29143,New Madrid ,10.1
0500000US29145,Newton ,10.9
0500000US29147,Nodaway ,8.1
0500000US29149,Oregon ,9.3
0500000US29151,Osage ,12.1
0500000US29153,Ozark ,9.5
0500000US29155,Pemiscot ,10
0500000US29157,Perry ,9
0500000US29159,Pettis ,9.1
0500000US29161,Phelps ,11.2
0500000US29163,Pike ,8.4
0500000US29165,Platte ,7.4
0500000US29167,Polk ,8.7
0500000US29169,Pulaski ,5.6
0500000US29171,Putnam ,17.3
0500000US29173,Ralls ,6.6
0500000US29175,Randolph ,9.3
0500000US29177,Ray ,7.8
0500000US29179,Reynolds ,15.4
0500000US29181,Ripley ,11.4
0500000US29183,St. Charles ,5.8
0500000US29185,St. Clair ,11.3
0500000US29186,Ste. Genevieve ,7.8
0500000US29187,St. Francois ,9.9
0500000US29189,St. Louis ,6.5
0500000US29195,Saline ,8.9
0500000US29197,Schuyler ,2.9
0500000US29199,Scotland ,7.2
0500000US29201,Scott ,12.6
0500000US29203,Shannon ,13.7
0500000US29205,Shelby ,7.2
0500000US29207,Stoddard ,7.4
0500000US29209,Stone ,9.9
0500000US29211,Sullivan ,23.1
0500000US29213,Taney ,11.8
0500000US29215,Texas ,14.7
0500000US29217,Vernon ,6.9
0500000US29219,Warren ,9.7
0500000US29221,Washington ,11.1
0500000US29223,Wayne ,19.3
0500000US29225,Webster ,11.7
0500000US29227,Worth ,6.9
0500000US29229,Wright ,9.1
0500000US29510,,6.6