Country_Name,Emissions (kt CO eq),Difference in Emissions,% Difference in Emissions,Absolute change since 1990,Percentage change since 1990
Austria,73392.00,-6650373.00,-0.08,6143703.00,0.09
Belgium,109735.00,-11460246.00,-0.10,-36167834.00,-0.25
Bulgaria,40001.00,-10217610.00,-0.20,-41186668.00,-0.51
Croatia,18616.00,-1263931.00,-0.06,-7329443.00,-0.28
Cyprus,8859.00,-734790.00,-0.08,2856837.00,0.48
Czechia,126462.00,-6619619.00,-0.05,-64116713.00,-0.34
Denmark,45839.00,-4688467.00,-0.09,-33926633.00,-0.43
Estonia,12926.00,-1587888.00,-0.11,-24197148.00,-0.65
Finland,31355.00,-10438455.00,-0.25,-27401472.00,-0.47
France,387069.00,-54385051.00,-0.12,-141911960.00,-0.27
Germany,731226.00,-83521813.00,-0.10,-549735943.00,-0.43
Greece,72217.00,-14343556.00,-0.17,-31621465.00,-0.31
Hungary,56307.00,-4223336.00,-0.07,-35924117.00,-0.39
Ireland,65830.00,-4259942.00,-0.06,4159988.00,0.07
Italy,352667.00,-37502888.00,-0.10,-167913992.00,-0.32
Latvia,11286.00,2089472.00,0.23,-2544662.00,-0.18
Lithuania,14939.00,-492503.00,-0.03,-27792791.00,-0.65
Luxembourg,10378.00,-1904756.00,-0.16,-2911213.00,-0.22
Malta,2319.00,-329663.00,-0.12,-470045.00,-0.17
Netherlands,174554.00,-21289244.00,-0.11,-56372605.00,-0.24
Poland,356423.00,-17014131.00,-0.05,-89862596.00,-0.20
Portugal,52372.00,-7789615.00,-0.13,-8857181.00,-0.15
Romania,77184.00,-8741067.00,-0.10,-145663061.00,-0.65
Slovakia,28357.00,-4763937.00,-0.14,-35030701.00,-0.55
Slovenia,11142.00,-1122485.00,-0.09,-3142127.00,-0.22
Spain,245671.00,-50193431.00,-0.17,-13216245.00,-0.05
Sweden,7461.00,-9293972.00,-0.56,-28743222.00,-0.79
Northern Cyprus,8859.00,-734790.00,-0.08,2856837.00,0.48
United Kingdom,,,,,0.00
Ukraine,,,,,0.00
Switzerland,,,,,0.00
Republic of Serbia,,,,,0.00
Norway,,,,,0.00
Montenegro,,,,,0.00
Moldova,,,,,0.00
Monaco,,,,,0.00
Vatican,,,,,0.00
San Marino,,,,,0.00
North Macedonia,,,,,0.00
Kosovo,,,,,0.00
Liechtenstein,,,,,0.00
Iceland,,,,,0.00
Bosnia and Herzegovina,,,,,0.00
Belarus,,,,,0.00
Andorra,,,,,0.00
Albania,,,,,0.00